Bubble sort
[245, 210, 236, 276, 224, 255, 29, 226, 280, 214, 290]
[210, 236, 245, 224, 255, 29, 226, 276, 214, 280, 290]
[210, 236, 224, 245, 29, 226, 255, 214, 276, 280, 290]
[210, 224, 236, 29, 226, 245, 214, 255, 276, 280, 290]
[210, 224, 29, 226, 236, 214, 245, 255, 276, 280, 290]
[210, 29, 224, 226, 214, 236, 245, 255, 276, 280, 290]
[29, 210, 224, 214, 226, 236, 245, 255, 276, 280, 290]
[29, 210, 214, 224, 226, 236, 245, 255, 276, 280, 290]
[29, 210, 214, 224, 226, 236, 245, 255, 276, 280, 290]
[29, 210, 214, 224, 226, 236, 245, 255, 276, 280, 290]

Insertion sort
[276, 245, 210, 236, 280, 224, 255, 29, 226, 290, 214]
[245, 276, 210, 236, 280, 224, 255, 29, 226, 290, 214]
[210, 245, 276, 236, 280, 224, 255, 29, 226, 290, 214]
[210, 236, 245, 276, 280, 224, 255, 29, 226, 290, 214]
[210, 236, 245, 276, 280, 224, 255, 29, 226, 290, 214]
[210, 224, 236, 245, 276, 280, 255, 29, 226, 290, 214]
[210, 224, 236, 245, 255, 276, 280, 29, 226, 290, 214]
[29, 210, 224, 236, 245, 255, 276, 280, 226, 290, 214]
[29, 210, 224, 226, 236, 245, 255, 276, 280, 290, 214]
[29, 210, 224, 226, 236, 245, 255, 276, 280, 290, 214]
[29, 210, 214, 224, 226, 236, 245, 255, 276, 280, 290

Selection sort
[29, 245, 210, 236, 280, 224, 255, 276, 226, 290, 214]
[29, 210, 245, 236, 280, 224, 255, 276, 226, 290, 214]
[29, 210, 214, 236, 280, 224, 255, 276, 226, 290, 245]
[29, 210, 214, 224, 280, 236, 255, 276, 226, 290, 245]
[29, 210, 214, 224, 226, 236, 255, 276, 280, 290, 245]
[29, 210, 214, 224, 226, 236, 255, 276, 280, 290, 245]
[29, 210, 214, 224, 226, 236, 245, 276, 280, 290, 255]
[29, 210, 214, 224, 226, 236, 245, 255, 280, 290, 276]
[29, 210, 214, 224, 226, 236, 245, 255, 276, 290, 280]
[29, 210, 214, 224, 226, 236, 245, 255, 276, 280, 290]
[29, 210, 214, 224, 226, 236, 245, 255, 276, 280, 290]

Merge sort
[245, 276, 210, 236, 280, 224, 255, 29, 226, 290, 214]
[210, 245, 276, 236, 280, 224, 255, 29, 226, 290, 214]
[210, 245, 276, 236, 280, 224, 255, 29, 226, 290, 214]
[210, 245, 276, 224, 236, 280, 255, 29, 226, 290, 214]
[210, 224, 236, 245, 276, 280, 255, 29, 226, 290, 214]
[210, 224, 236, 245, 276, 280, 29, 255, 226, 290, 214]
[210, 224, 236, 245, 276, 280, 29, 226, 255, 290, 214]
[210, 224, 236, 245, 276, 280, 29, 226, 255, 214, 290]
[210, 224, 236, 245, 276, 280, 29, 214, 226, 255, 290]
[29, 210, 214, 224, 226, 236, 245, 255, 276, 280, 290]
